,Gender,Customer Type,Type of Travel,Class,satisfaction,Age,Flight Distance,Inflight entertainment,Baggage handling,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
11065,Male,Loyal Customer,Business travel,Business,satisfied,43,1570,5,5,3,0,0.0
11066,Male,Loyal Customer,Business travel,Eco,satisfied,52,1530,3,2,3,25,18.0
11067,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,25,277,2,3,2,3,0.0
11068,Male,disloyal Customer,Business travel,Business,satisfied,65,337,4,5,4,0,1.0
11069,Female,Loyal Customer,Personal Travel,Eco,satisfied,8,2174,4,3,4,1,0.0
11070,Male,Loyal Customer,Business travel,Business,satisfied,14,1201,4,5,4,5,1.0
11071,Male,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,45,416,3,1,3,23,35.0
11072,Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,72,501,1,3,1,10,10.0
11073,Male,disloyal Customer,Business travel,Eco Plus,neutral or dissatisfied,38,116,3,4,3,8,6.0
11074,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,61,1496,3,4,3,0,0.0
11075,Female,Loyal Customer,Business travel,Business,satisfied,45,250,5,5,2,0,0.0
11076,Female,Loyal Customer,Business travel,Eco Plus,satisfied,23,378,4,4,4,2,0.0
11077,Male,Loyal Customer,Business travel,Business,satisfied,24,592,5,4,5,0,0.0
11078,Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,36,236,3,4,3,0,0.0
11079,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,24,109,2,3,2,0,5.0
11080,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,32,442,3,3,3,26,30.0
11081,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,63,1482,4,4,4,83,96.0
11082,Female,Loyal Customer,Business travel,Business,satisfied,33,2475,5,5,3,3,0.0
11083,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,65,689,3,3,1,0,0.0
11084,Female,Loyal Customer,Business travel,Business,satisfied,72,3325,5,5,3,0,0.0
11085,Male,Loyal Customer,Personal Travel,Eco,satisfied,23,683,4,5,4,9,6.0
11086,Male,Loyal Customer,Business travel,Business,satisfied,31,569,4,4,4,16,5.0
11087,Female,Loyal Customer,Business travel,Eco,satisfied,35,578,5,3,5,0,1.0
11088,Male,Loyal Customer,Business travel,Business,satisfied,32,2613,5,4,5,1,0.0
11089,Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,46,453,2,2,4,73,60.0
11090,Female,Loyal Customer,Business travel,Business,satisfied,41,3946,4,4,5,0,0.0
11091,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,14,2139,1,5,1,16,7.0
11092,Male,Loyal Customer,Personal Travel,Eco,satisfied,26,331,3,4,3,0,0.0
11093,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,41,798,3,3,2,17,13.0
11094,Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,44,1121,2,2,4,0,0.0
11095,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,19,583,3,4,3,0,0.0
11096,Female,Loyal Customer,Business travel,Business,satisfied,33,1440,5,5,5,15,5.0
11097,Male,Loyal Customer,Personal Travel,Eco,satisfied,64,119,1,4,1,0,0.0
11098,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,21,556,3,2,3,58,70.0
11099,Male,Loyal Customer,Business travel,Eco Plus,neutral or dissatisfied,46,489,3,4,3,12,6.0
11100,Female,Loyal Customer,Business travel,Business,satisfied,39,1514,4,4,3,14,3.0
11101,Female,Loyal Customer,Business travel,Business,satisfied,52,990,5,5,5,0,0.0
11102,Male,Loyal Customer,Personal Travel,Eco,satisfied,20,668,1,5,1,5,0.0
11103,Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,43,1035,3,3,3,54,53.0
11104,Male,Loyal Customer,Business travel,Business,satisfied,37,3110,4,4,5,5,22.0
11105,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,12,151,2,4,2,4,0.0
11106,Male,Loyal Customer,Business travel,Business,satisfied,40,1548,4,4,3,0,0.0
11107,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,40,1823,5,4,5,0,0.0
11108,Female,disloyal Customer,Business travel,Eco Plus,neutral or dissatisfied,36,403,1,3,1,37,58.0
11109,Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,39,130,2,4,2,9,5.0
11110,Female,Loyal Customer,Business travel,Eco,satisfied,43,748,4,4,1,0,6.0
11111,Male,Loyal Customer,Business travel,Business,satisfied,60,835,4,4,4,0,0.0
11112,Female,disloyal Customer,Business travel,Business,satisfied,24,299,2,4,2,0,0.0
11113,Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,26,760,1,4,1,0,0.0
11114,Female,Loyal Customer,Business travel,Business,satisfied,42,1345,5,5,3,0,3.0
11115,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,70,544,3,2,3,0,20.0
11116,Male,Loyal Customer,Business travel,Business,satisfied,58,2475,5,5,4,0,0.0
11117,Female,Loyal Customer,Business travel,Business,satisfied,47,3070,4,4,5,6,1.0
11118,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,35,896,4,3,4,0,0.0
11119,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,25,86,1,4,1,0,0.0
11120,Male,Loyal Customer,Business travel,Business,satisfied,50,271,4,4,4,0,0.0
11121,Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,65,581,3,3,1,0,0.0
11122,Male,Loyal Customer,Business travel,Business,satisfied,50,3973,3,3,5,31,17.0
11123,Male,disloyal Customer,Business travel,Eco,satisfied,55,301,5,5,5,0,10.0
11124,Female,Loyal Customer,Business travel,Eco Plus,satisfied,47,163,5,5,5,0,0.0
11125,Female,disloyal Customer,Business travel,Eco Plus,neutral or dissatisfied,29,1489,4,3,4,0,47.0
11126,Male,Loyal Customer,Business travel,Business,satisfied,29,2898,4,4,4,0,0.0
11127,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,31,417,1,2,1,38,28.0
11128,Female,Loyal Customer,Business travel,Eco,satisfied,44,1774,4,4,3,0,2.0
11129,Male,disloyal Customer,Business travel,Business,satisfied,20,213,5,5,5,0,0.0
11130,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,16,861,1,4,1,48,56.0
11131,Female,Loyal Customer,Business travel,Business,satisfied,19,1632,4,4,4,1,0.0
11132,Male,Loyal Customer,Business travel,Business,satisfied,54,3808,5,5,5,0,0.0
11133,Male,Loyal Customer,Personal Travel,Eco,satisfied,48,230,4,5,4,0,12.0
11134,Female,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,8,268,2,4,2,33,28.0
11135,Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,28,679,1,5,1,0,0.0
11136,Male,Loyal Customer,Personal Travel,Eco,satisfied,11,1910,2,4,2,6,5.0
11137,Male,Loyal Customer,Business travel,Business,satisfied,60,228,4,4,3,35,24.0
11138,Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,37,937,1,4,1,0,29.0
11139,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,19,356,4,5,4,0,0.0
11140,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,32,2858,2,2,2,34,31.0
11141,Male,Loyal Customer,Business travel,Business,satisfied,44,997,5,5,5,0,2.0
11142,Female,Loyal Customer,Business travel,Eco,satisfied,53,397,5,5,1,0,0.0
11143,Male,Loyal Customer,Business travel,Business,satisfied,56,1671,3,3,5,0,0.0
11144,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,51,158,4,1,3,0,0.0
11145,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,9,584,1,2,1,0,0.0
11146,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,33,1532,3,3,3,0,0.0
11147,Male,Loyal Customer,Business travel,Business,satisfied,44,1576,4,4,5,53,45.0
11148,Male,Loyal Customer,Business travel,Business,satisfied,38,1605,5,5,4,1,0.0
11149,Female,Loyal Customer,Business travel,Eco,satisfied,57,842,5,5,4,16,1.0
11150,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,60,3794,3,3,3,10,1.0
11151,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,30,967,5,4,5,58,56.0
11152,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,47,2367,2,2,4,0,0.0
11153,Male,Loyal Customer,Business travel,Business,satisfied,40,1721,4,4,4,0,0.0
11154,Male,Loyal Customer,Business travel,Business,satisfied,51,954,5,5,5,0,0.0
11155,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,33,1820,1,2,1,23,19.0
11156,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,42,1010,5,4,5,0,0.0
11157,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,44,580,2,4,2,38,24.0
11158,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,46,3704,2,2,3,0,0.0
11159,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,67,488,3,5,3,13,19.0
11160,Female,Loyal Customer,Business travel,Business,satisfied,57,2077,5,5,3,0,0.0
11161,Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,34,861,1,5,1,0,0.0
11162,Female,disloyal Customer,Business travel,Eco,satisfied,25,921,5,4,5,8,13.0
11163,Male,Loyal Customer,Business travel,Business,satisfied,27,2349,4,3,4,0,0.0
11164,Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,47,402,2,4,2,2,0.0
11165,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,39,78,4,4,4,5,2.0
11166,Female,Loyal Customer,Business travel,Business,satisfied,30,462,2,4,2,24,29.0
11167,Male,Loyal Customer,Business travel,Eco Plus,satisfied,39,1476,4,3,4,0,0.0
11168,Female,disloyal Customer,Business travel,Eco Plus,neutral or dissatisfied,29,770,3,4,3,42,41.0
11169,Male,Loyal Customer,Business travel,Business,satisfied,43,2254,5,5,4,0,0.0
11170,Female,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,31,2075,3,3,3,0,0.0
11171,Female,disloyal Customer,Business travel,Eco Plus,neutral or dissatisfied,20,307,1,1,4,71,138.0
11172,Male,Loyal Customer,Business travel,Business,satisfied,58,235,5,5,5,106,92.0
11173,Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,68,695,1,2,1,0,0.0
11174,Male,Loyal Customer,Business travel,Eco,satisfied,35,1947,4,3,4,0,0.0
11175,Female,disloyal Customer,Personal Travel,Eco,neutral or dissatisfied,21,501,1,5,1,0,0.0
11176,Male,disloyal Customer,Business travel,Business,satisfied,25,833,3,5,3,33,33.0
11177,Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,34,409,2,5,2,0,0.0
11178,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,19,1947,2,4,2,0,10.0
11179,Female,Loyal Customer,Business travel,Eco Plus,satisfied,17,1121,5,5,5,0,0.0
11180,Male,Loyal Customer,Business travel,Business,satisfied,48,3510,5,5,4,0,6.0
11181,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,23,1053,2,4,2,1,0.0
11182,Female,Loyal Customer,Business travel,Business,satisfied,48,1846,4,4,5,0,0.0
11183,Male,Loyal Customer,Business travel,Business,satisfied,48,2121,4,4,4,8,8.0
11184,Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,47,628,2,2,1,53,33.0
11185,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,37,2004,2,2,1,0,0.0
11186,Female,Loyal Customer,Business travel,Business,satisfied,26,3374,5,3,5,0,6.0
11187,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,28,2442,5,4,3,116,127.0
11188,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,46,2103,3,1,3,12,2.0
11189,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,41,2173,3,3,3,2,8.0
11190,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,54,950,4,4,3,0,20.0
11191,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,31,964,3,4,3,94,86.0
11192,Male,Loyal Customer,Business travel,Business,satisfied,23,3111,4,3,4,8,5.0
11193,Female,Loyal Customer,Business travel,Business,satisfied,38,214,4,5,4,0,0.0
11194,Female,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,67,2475,3,3,2,0,0.0
11195,Female,Loyal Customer,Personal Travel,Eco,satisfied,46,1017,1,1,4,0,2.0
11196,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,60,2840,2,2,3,0,0.0
11197,Female,Loyal Customer,Business travel,Eco,satisfied,41,227,5,1,5,0,0.0
11198,Male,Loyal Customer,Business travel,Business,satisfied,63,550,5,5,4,0,0.0
11199,Female,Loyal Customer,Business travel,Business,satisfied,45,481,4,4,5,0,0.0
11200,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,27,651,5,4,5,77,97.0
11201,Female,Loyal Customer,Business travel,Business,satisfied,49,719,3,3,3,0,23.0
11202,Female,Loyal Customer,Business travel,Business,satisfied,42,2147,5,5,4,0,0.0
11203,Female,disloyal Customer,Business travel,Eco Plus,neutral or dissatisfied,37,628,5,5,5,0,0.0
11204,Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,38,409,2,3,2,0,0.0
11205,Female,Loyal Customer,Business travel,Business,satisfied,45,2037,5,5,5,0,0.0
11206,Male,Loyal Customer,Business travel,Business,satisfied,47,849,4,4,4,139,127.0
11207,Female,Loyal Customer,Business travel,Business,satisfied,49,2900,2,2,3,9,0.0
11208,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,15,67,3,4,3,0,0.0
11209,Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,45,184,2,2,2,0,0.0
11210,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,17,1587,4,4,4,0,0.0
11211,Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,39,216,5,3,5,0,0.0
11212,Female,disloyal Customer,Business travel,Business,satisfied,55,220,5,5,5,0,0.0
11213,Female,Loyal Customer,Business travel,Eco,satisfied,63,140,4,4,1,5,0.0
11214,Male,Loyal Customer,Business travel,Eco Plus,neutral or dissatisfied,34,852,3,3,3,0,0.0
11215,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,19,405,3,3,3,24,18.0
11216,Male,Loyal Customer,Business travel,Business,satisfied,23,3295,4,2,4,4,31.0
11217,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,52,577,3,3,1,0,0.0
11218,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,41,1131,4,4,4,34,23.0
11219,Female,Loyal Customer,Business travel,Business,satisfied,22,972,2,4,2,0,0.0
11220,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,48,719,3,3,3,55,41.0
11221,Male,Loyal Customer,Business travel,Eco,satisfied,36,2422,4,5,4,0,0.0
11222,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,23,447,1,4,1,32,24.0
11223,Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,47,738,2,2,4,0,0.0
11224,Female,Loyal Customer,Business travel,Business,satisfied,61,3805,5,5,2,0,4.0
11225,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,37,1237,2,4,2,9,67.0
11226,Male,disloyal Customer,Business travel,Eco,satisfied,29,255,1,1,1,18,13.0
11227,Male,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,52,271,4,2,3,0,0.0
11228,Male,Loyal Customer,Business travel,Eco,satisfied,46,522,5,5,5,0,0.0
11229,Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,35,119,3,3,3,0,0.0
11230,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,51,321,3,2,3,0,0.0
11231,Female,Loyal Customer,Business travel,Business,satisfied,29,965,4,1,4,0,0.0
11232,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,46,683,4,5,4,0,0.0
11233,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,20,507,3,4,3,3,0.0
11234,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,9,565,3,4,3,151,164.0
11235,Male,Loyal Customer,Business travel,Eco Plus,satisfied,40,212,3,1,3,0,0.0
11236,Female,disloyal Customer,Business travel,Business,satisfied,26,2075,4,4,4,0,0.0
11237,Female,Loyal Customer,Business travel,Business,satisfied,47,2011,5,5,5,0,0.0
11238,Female,Loyal Customer,Business travel,Business,satisfied,20,1842,3,5,3,0,0.0
11239,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,51,1460,2,5,2,0,0.0
11240,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,23,895,3,4,3,9,2.0
11241,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,69,240,5,3,5,0,0.0
11242,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,34,627,5,2,5,0,0.0
11243,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,43,393,3,3,5,98,94.0
11244,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,24,1334,1,1,1,16,0.0
11245,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,17,630,1,4,1,0,0.0
11246,Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,25,528,5,5,5,0,0.0
11247,Male,Loyal Customer,Business travel,Business,satisfied,55,2067,5,5,3,0,0.0
11248,Female,Loyal Customer,Business travel,Business,satisfied,56,3548,5,5,5,22,6.0
11249,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,18,252,2,2,2,0,0.0
11250,Female,Loyal Customer,Business travel,Business,satisfied,56,587,4,4,5,0,0.0
11251,Male,Loyal Customer,Business travel,Business,satisfied,31,2305,5,4,5,0,0.0
11252,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,69,341,2,2,3,0,1.0
11253,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,54,888,3,3,3,0,0.0
11254,Male,Loyal Customer,Business travel,Business,satisfied,36,3539,1,5,4,133,158.0
11255,Female,Loyal Customer,Business travel,Business,satisfied,46,883,2,2,5,39,29.0
11256,Male,Loyal Customer,Business travel,Business,satisfied,69,2586,4,5,5,0,0.0
11257,Male,Loyal Customer,Business travel,Business,satisfied,48,3881,5,5,4,33,38.0
11258,Male,disloyal Customer,Business travel,Business,satisfied,25,507,2,5,2,0,0.0
11259,Male,Loyal Customer,Business travel,Business,satisfied,43,2301,5,5,3,0,0.0
11260,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,50,1089,3,3,3,4,0.0
11261,Female,Loyal Customer,Business travel,Business,satisfied,59,2592,5,5,4,3,7.0
11262,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,14,2279,3,5,3,0,0.0
11263,Female,Loyal Customer,Business travel,Business,satisfied,52,1847,5,5,5,0,1.0
11264,Female,Loyal Customer,Business travel,Eco Plus,neutral or dissatisfied,52,1007,4,4,4,0,8.0
11265,Male,Loyal Customer,Business travel,Business,satisfied,55,3098,3,3,4,4,0.0
11266,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,65,1102,3,3,4,0,0.0
11267,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,13,405,4,3,4,1,0.0
11268,Male,Loyal Customer,Business travel,Business,satisfied,43,929,4,4,3,1,1.0
11269,Male,Loyal Customer,Business travel,Eco Plus,satisfied,25,714,5,4,5,0,0.0
11270,Male,Loyal Customer,Business travel,Business,satisfied,48,241,3,3,5,67,80.0
11271,Male,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,44,551,1,1,4,29,18.0
11272,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,13,1440,5,4,5,62,81.0
11273,Male,Loyal Customer,Business travel,Eco,satisfied,53,433,2,3,2,34,30.0
11274,Male,Loyal Customer,Business travel,Eco Plus,neutral or dissatisfied,55,551,3,3,3,11,1.0
11275,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,38,679,1,4,1,104,123.0
11276,Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,33,200,2,5,2,0,0.0
11277,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,50,163,1,5,1,0,0.0
11278,Female,Loyal Customer,Business travel,Business,satisfied,47,2039,5,5,3,2,2.0
11279,Male,Loyal Customer,Business travel,Business,satisfied,73,2265,4,4,3,24,22.0
11280,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,53,1400,3,3,2,0,0.0
11281,Female,Loyal Customer,Business travel,Eco Plus,neutral or dissatisfied,34,933,4,4,4,0,0.0
11282,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,28,3989,3,4,3,62,88.0
11283,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,57,2556,2,2,2,41,99.0
11284,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,29,869,4,3,4,11,7.0
11285,Male,Loyal Customer,Business travel,Business,satisfied,43,1829,4,4,3,0,0.0
11286,Male,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,67,315,3,4,3,0,0.0
11287,Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,29,1947,2,4,2,10,8.0
11288,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,37,328,1,3,1,0,0.0
11289,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,61,368,2,4,2,0,0.0
11290,Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,39,507,4,3,4,0,0.0
11291,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,63,1208,1,4,5,0,0.0
11292,Male,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,22,569,2,3,2,5,9.0
11293,Female,Loyal Customer,Personal Travel,Eco,satisfied,51,216,5,5,4,0,0.0
11294,Male,Loyal Customer,Business travel,Eco,satisfied,33,109,4,1,4,0,0.0
11295,Male,Loyal Customer,Business travel,Business,satisfied,54,3049,5,5,5,0,23.0
11296,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,25,944,1,3,1,126,135.0
11297,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,36,251,5,5,5,54,36.0
11298,Male,Loyal Customer,Business travel,Eco,satisfied,48,157,5,2,5,0,0.0
11299,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,35,1124,3,5,3,0,0.0
11300,Female,Loyal Customer,Business travel,Eco,satisfied,35,1444,3,4,3,0,0.0
11301,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,28,421,5,4,5,0,1.0
11302,Male,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,9,587,3,4,3,0,0.0
11303,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,34,872,2,3,2,0,26.0
11304,Male,Loyal Customer,Business travel,Business,satisfied,48,1846,4,4,4,54,35.0
11305,Male,disloyal Customer,Business travel,Business,satisfied,25,685,2,5,2,0,0.0
11306,Male,disloyal Customer,Business travel,Business,satisfied,22,4243,5,5,5,14,16.0
11307,Female,Loyal Customer,Business travel,Business,satisfied,44,589,4,4,3,3,0.0
11308,Female,disloyal Customer,Business travel,Business,satisfied,19,645,4,4,4,0,0.0
11309,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,21,596,2,4,3,136,117.0
11310,Male,Loyal Customer,Business travel,Business,satisfied,56,2981,5,5,4,2,0.0
11311,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,34,841,1,3,3,166,174.0
11312,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,38,462,2,4,2,23,50.0
11313,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,42,650,3,4,3,0,0.0
11314,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,30,399,2,4,2,47,40.0
11315,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,46,1197,5,4,5,5,0.0
11316,Male,Loyal Customer,Business travel,Business,satisfied,39,1521,4,4,3,7,0.0
11317,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,21,397,1,2,1,2,0.0
11318,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,25,2583,1,2,3,6,125.0
11319,Female,Loyal Customer,Business travel,Eco Plus,neutral or dissatisfied,71,728,4,4,2,0,0.0
11320,Female,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,64,1009,1,1,3,5,0.0
11321,Female,Loyal Customer,Business travel,Eco,satisfied,42,346,4,4,2,11,11.0
11322,Female,Loyal Customer,Business travel,Eco,satisfied,51,239,5,5,3,0,0.0
11323,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,39,349,5,4,5,45,42.0
11324,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,42,2248,5,3,5,1,0.0
11325,Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,27,577,3,5,3,28,24.0
11326,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,25,474,3,2,3,0,0.0
11327,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,56,528,2,2,2,0,0.0
11328,Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,29,1095,2,4,2,0,0.0
11329,Female,Loyal Customer,Business travel,Eco,satisfied,48,101,4,4,1,0,0.0
11330,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,21,283,5,2,5,0,0.0
11331,Female,Loyal Customer,Business travel,Business,satisfied,44,1235,4,4,3,0,0.0
11332,Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,26,1744,4,4,4,11,10.0
11333,Female,Loyal Customer,Business travel,Business,satisfied,41,3195,2,2,4,0,0.0
11334,Female,Loyal Customer,Business travel,Business,satisfied,25,1816,2,5,2,0,0.0
11335,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,48,1609,2,2,4,0,0.0
11336,Female,Loyal Customer,Business travel,Business,satisfied,47,3975,5,5,3,0,0.0
11337,Female,Loyal Customer,Business travel,Eco,satisfied,55,581,4,4,4,0,0.0
11338,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,51,3601,4,4,2,0,0.0
11339,Male,Loyal Customer,Business travel,Business,satisfied,34,581,5,5,4,0,0.0
11340,Female,Loyal Customer,Business travel,Business,satisfied,51,3590,5,5,5,4,0.0
11341,Male,Loyal Customer,Business travel,Business,satisfied,53,2227,4,4,4,0,5.0
11342,Female,Loyal Customer,Business travel,Business,satisfied,49,1851,4,4,5,0,0.0
11343,Male,Loyal Customer,Business travel,Business,satisfied,25,3939,4,4,4,0,0.0
11344,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,37,229,5,5,5,2,23.0
11345,Male,Loyal Customer,Business travel,Business,satisfied,35,1645,4,4,5,65,36.0
11346,Male,Loyal Customer,Business travel,Business,satisfied,38,534,4,4,5,0,21.0
11347,Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,32,1979,3,4,3,0,0.0
11348,Female,disloyal Customer,Business travel,Eco,satisfied,24,370,4,5,4,0,0.0
11349,Female,Loyal Customer,Business travel,Business,satisfied,50,1416,4,4,3,0,0.0
11350,Female,Loyal Customer,Business travel,Eco,satisfied,34,190,5,1,5,0,0.0
11351,Male,Loyal Customer,Business travel,Business,satisfied,23,2327,4,5,4,0,0.0
11352,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,18,2565,3,4,5,0,0.0
11353,Male,Loyal Customer,Business travel,Business,satisfied,26,685,4,5,4,14,9.0
11354,Male,disloyal Customer,Business travel,Business,satisfied,29,296,5,5,5,0,0.0
